Direksi Perempuan;Direksi Laki-Laki;Harga penutupan;Total Shares;Total Utang;Total Asset
2;9;3965;24655010000;614940262000000;750319671000000
3;9;4744;24655010000;668438779000000;824787944000000
3;8;6174;24655010000;740067127000000;918989312000000
2;10;6381;24655010000;885537919000000;1075570256000000
2;10;7022;123275050000;1019773758000000;1228344680000000
3;8;3640;123345810000;958900948000000;1126248442000000
2;10;3660;123345810000;1111622961000000;1296898292000000
2;10;4400;123345810000;1183155670000000;1416758840000000
2;14;4170;123345810000;1278346276000000;1511804628000000
2;13;4110;151559001604;1386310930000000;1678097734000000
1;9;9900;18648656458;584086818000000;709330084000000
2;9;8800;18648656458;671237546000000;808572011000000
2;9;7850;18648656458;688489442000000;845605208000000
3;9;6175;18648656458;746235663000000;891337425000000
3;9;6750;18648656458;838317715000000;964837692000000
1;10;4000;46666666666;888026817000000;1124700847000000
1;11;3838;46666666666;941953100000000;1202252094000000
1;12;3838;46666666666;1025749580000000;1318246335000000
2;15;3163;46666666666;1151267847000000;1429334484000000
2;11;3513;46666666666;1241791774000000;1639987831000000
0;5;500;3958000000;9100455000000;31543384000000
0;4;525;9716113498;11894916000000;37915084000000
0;5;330;9716113498;11880036000000;43123488000000
0;5;2250;9900508698;17475112000000;57715586000000
2;8;1780;41129307343;61886476000000;265289081000000
0;8;3570;10590000000;223937463000000;261365267000000
0;9;2540;10590000000;263784017000000;306436194000000
1;7;2120;10590000000;269451682000000;311776828000000
1;7;1725;10590000000;321376142000000;361208406000000
1;9;1730;10590000001;327693592000000;327693592000000
0;8;590;9086590432;99684047000000;106442999000000
0;8;272;20717191202;95643923000000;95643923000000
0;10;224;11651908748;91358763000000;100264248000000
0;9;575;11651908749;71472136000000;79938578000000
0;11;270;67887540178;76009770000000;89215674000000
0;5;525;17912537958;13213962130000;16325247007000
0;4;310;21343290230;18889385436000;23313671252000
0;4;198;21343290231;22586218693000;27067922912000
0;5;1035;21343290230;23727802051000;28015492262000
0;5;1810;22746526712;14408859476000;16866522655000
1;6;710;14974591382;43702607000000;51518681000000
1;6;690;14974591383;54217182000000;62689118000000
1;4;685;14974591383;67529638000000;76715290000000
1;4;680;14974591383;73614504000000;83619452000000
1;4;750;14974591383;89812791000000;89812791000000
1;4;100;6933330000;1653828000000;9156522000000
1;4;1795;7703700000;2049483000000;12039275000000
1;4;4250;7703700000;2439054000000;15383038000000
0;4;3750;7703700000;2632890000000;16435005000000
0;5;3580;7703700000;2543053000000;18543856000000
1;2;168;1206250000;698176412209;837226943492
1;2;184;1206250000;549114020524;664673471410
1;2;3100;1206250001;639877982620;1321057201505
1;4;3566;10856250000;947540000000;2179873000000
1;5;16000;13856250000;3952606000000;12312422000000
3;3;2400;9696291166;98820526000000;114980168000000
3;1;2050;9838787161;104035920000000;120191387000000
2;4;1185;9838787161;105920991000000;123536474000000
3;4;1550;9838787161;122676884000000;140934002000000
3;5;1335;9838787161;137955374000000;158356097000000
1;2;400;4699158088;4328603730902;5004795018159
1;3;284;5192586184;4533729146622;4533729146622
1;5;284;6161782101;4177951053821;5123734649117
0;3;288;6661795239;4300705118122;5421324398438
0;6;1930;9421681836;8447980414962;11337808684383
2;2;51;21261473347;9453546000000;10706094000000
1;2;50;21785053618;9424865000000;10854855000000
1;3;50;25333295263;9048429000000;10607879000000
1;4;50;25333296313;10101667000000;11652904000000
1;4;186;29412224720;11649903000000;14015360000000
6;5;1350;25131606843;229354449000000;266305445000000
6;5;915;25131606843;227200919000000;266781498000000
6;5;965;25131606844;231173061000000;274467227000000
4;4;995;25131606844;239890554000000;280943605000000
3;6;965;25131606845;267398602000000;310786960000000
0;5;216;7039500962;14941087000000;16349473000000
0;4;300;7070128427;16534651000000;18019614000000
0;4;300;7070128850;17421982000000;18959622000000
0;4;376;7070128850;18583167000000;20223558000000
1;4;266;7078002482;20203112000000;22325883000000
2;5;6950;9584643365;139084940000000;178257092000000
2;7;7600;9584643366;118278488000000;159589094000000
2;8;3950;9773552870;148116943000000;193533970000000
2;8;3140;9773552870;157314569000000;200890068000000
1;7;2350;9773552870;147156640000000;192239698000000
1;3;83;11175060000;3463572000000;4581932000000
1;2;82;11175060000;3370923000000;4497122000000
1;2;66;11175060000;3669743000000;4809743000000
1;2;74;11175060000;5365456000000;5365456000000
1;2;244;11175060000;6427061000000;8575950000000
3;6;625;28042739205;126817628000000;148328370000000
3;5;625;28042739205;130440930000000;152892866000000
3;5;1265;28042739205;137413908000000;161451259000000
3;6;3020;28042739205;162654644000000;197726097000000
4;6;1535;36181359520;234379042000000;234379042000000
0;3;65;24087645998;177253066000000;213541797000000
0;3;50;23959037851;854502894000;8771057795000
1;2;50;23959037851;583700944000;11135824845000
1;2;83;38813641319;600931510000;11302082193000
1;3;85;38813641319;14426004879000;14426004879000
0;5;118;64109430357;6870566000000;7658924000000
0;4;118;64109430357;8788732000000;9482130000000
0;3;118;64109430357;7547795000000;8097328000000
0;3;98;64109430357;3975700000000;5337281000000
0;4;54;9160354337;6958464000000;8849611000000
0;3;268;2310000000;5651847900990;7014677335611
0;3;278;2310000000;5802518829966;7297273467260
0;3;322;2310000000;6083998151873;7607653715376
0;3;378;2310000000;6083998151873;7637524325854
0;4;3240;2772000000;6432760566695;8666525828600
3;4;263;67746840730;152478451000000;173253491000000
2;6;206;67646840730;152442167000000;177532858000000
2;6;206;76215195821;142397914000000;169082830000000
1;7;346;76215195821;146000782000000;173224412000000
1;8;332;76215195821;140033353000000;168758476000000
1;6;2460;5840287257;73027270000000;95489850000000
1;4;3440;5851646757;76544999000000;101919301000000
3;6;3250;8148928869;142608793000000;181631385000000
3;8;3110;8148931869;142277859000000;183165978000000
3;7;2620;8149106869;146932964000000;191917794000000
2;6;214;16631460751;13344943000000;15788738000000
1;5;142;16631460751;13476317000000;15992475000000
1;5;129;16631460751;16098826000000;18893684000000
1;5;139;37919730514;19218860000000;25235573000000
1;5;116;37919730514;20113344000000;26194548000000
1;10;1140;24087645998;177253066000000;213541797000000
1;10;1145;24087645998;166457301000000;207204418000000
1;10;1135;24087645998;166845656000000;211287370000000
0;10;1065;24087645998;170606759000000;218067091000000
0;10;770;24087645998;155914795000000;204462542000000
1;4;236;8671048162;24483975280000;28825608648000
1;4;190;8671048162;25808570240000;30172315337000
1;4;84;8951947039;25782313852000;30456458802000
1;4;114;8951947039;22197849857000;26221407472000
1;4;204;10487132568;20702225559000;24947143045000
2;6;80;15796193049;23219096000000;27727008000000
1;7;62;15796193049;21438077000000;26025188000000
1;4;61;15796193049;20995806000000;25532041000000
1;4;69;15796193049;26967430000000;30526965000000
2;5;127;20223412907;22173871000000;26127820000000
